City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualmay,PE,-11.0964,-77.6139,69.87,82,75,5.95,broken clouds
1,Chokurdakh,RU,70.6333,147.9167,3.36,93,97,5.19,overcast clouds
2,Xinqing,CN,48.2333,129.5,36.27,98,100,2.84,light snow
3,Vardo,NO,70.3705,31.1107,33.8,86,75,9.22,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,79.72,71,1,14.63,clear sky
5,Hermanus,ZA,-34.4187,19.2345,62.01,83,100,7.0,overcast clouds
6,Kodiak,US,57.79,-152.4072,44.6,57,1,9.22,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,98,8.05,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,62.6,77,20,17.27,few clouds
9,Mataura,NZ,-46.1927,168.8643,61.0,87,21,10.0,few clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,6.91,few clouds
11,Pitimbu,BR,-7.4706,-34.8086,77.0,100,20,3.44,few clouds
12,Ilinskiy,RU,55.619,38.1182,30.0,80,0,2.24,clear sky
13,Busselton,AU,-33.65,115.3333,82.35,30,54,2.37,broken clouds
14,Barra Do Corda,BR,-5.5,-45.25,71.78,97,51,2.86,broken clouds
15,Nortelandia,BR,-14.4547,-56.8028,73.72,81,23,2.08,few clouds
16,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,13.8,clear sky
17,Bethel,US,41.3712,-73.414,53.01,82,100,7.0,light rain
18,Talnakh,RU,69.4865,88.3972,-5.64,97,97,7.76,overcast clouds
19,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,2.3,clear sky
20,Aklavik,CA,68.2191,-135.0107,-2.2,50,27,3.44,scattered clouds
21,Avarua,CK,-21.2078,-159.775,82.4,78,75,14.97,broken clouds
22,Necochea,AR,-38.5473,-58.7368,59.0,88,38,7.2,scattered clouds
23,Uxbridge,US,42.0773,-71.6295,53.01,2,100,10.0,moderate rain
24,Punta Arenas,CL,-53.15,-70.9167,41.0,81,0,5.75,clear sky
25,Port Alfred,ZA,-33.5906,26.891,65.19,77,100,19.82,overcast clouds
26,Cap Malheureux,MU,-19.9842,57.6142,80.01,76,22,4.65,few clouds
27,Cabildo,AR,-38.4842,-61.8954,55.0,93,96,7.34,overcast clouds
28,Half Moon Bay,US,37.4636,-122.4286,62.6,100,90,8.05,mist
29,Port-Cartier,CA,50.0334,-66.8654,27.0,100,90,24.16,snow
30,Yellowknife,CA,62.456,-114.3525,12.2,62,75,21.85,broken clouds
31,Mawlaik,MM,23.6333,94.4167,94.82,11,92,0.89,overcast clouds
32,Salmon Creek,US,45.7107,-122.649,42.8,56,40,12.66,light rain
33,El Jicaro,GT,14.9167,-89.9,75.61,76,0,4.21,clear sky
34,Pacific Grove,US,36.6177,-121.9166,54.0,76,1,3.09,clear sky
35,Ushuaia,AR,-54.8,-68.3,42.8,70,0,5.75,clear sky
36,Vaini,TO,-21.2,-175.2,84.2,79,20,10.36,few clouds
37,Asau,RO,46.4333,26.4,35.01,44,24,5.23,few clouds
38,Kargil,IN,34.5667,76.1,36.68,76,99,9.78,light snow
39,Kruisfontein,ZA,-34.0033,24.7314,60.01,84,100,4.0,overcast clouds
40,Hakodate,JP,41.7758,140.7367,55.4,88,75,12.66,broken clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,77.11,90,42,9.48,scattered clouds
42,Albany,US,42.6001,-73.9662,50.0,67,100,13.85,overcast clouds
43,Kalemie,CD,-5.9475,29.1947,69.73,84,96,1.66,light rain
44,Hilo,US,19.7297,-155.09,73.4,73,75,5.75,light rain
45,Port Macquarie,AU,-31.4333,152.9167,77.0,47,75,10.36,light rain
46,Isilkul,RU,54.9109,71.2728,15.91,82,78,18.41,broken clouds
47,Leningradskiy,RU,69.3833,178.4167,1.45,89,100,3.78,overcast clouds
48,Jamestown,US,42.097,-79.2353,36.0,86,90,23.09,light rain
49,Safakulevo,RU,54.9901,62.5442,21.7,92,42,11.59,scattered clouds
50,Huercal-Overa,ES,37.389,-1.9454,51.01,79,100,5.32,overcast clouds
51,Provideniya,RU,64.3833,-173.3,19.47,90,100,18.92,light snow
52,Tasiilaq,GL,65.6145,-37.6368,14.0,52,95,5.75,overcast clouds
53,Taber,CA,49.8167,-112.1518,50.0,43,8,23.02,clear sky
54,Salvador,SV,13.8333,-88.9167,75.2,78,0,1.14,clear sky
55,Porto Empedocle,IT,37.2934,13.5264,54.0,62,0,5.7,clear sky
56,Cabo Rojo,PR,18.0866,-67.1457,75.99,96,1,1.01,clear sky
57,Krasnoselkup,RU,65.7,82.4667,-0.63,94,35,12.08,scattered clouds
58,Georgetown,MY,5.4112,100.3354,86.0,83,20,3.44,few clouds
59,Zhaoyuan,CN,37.3592,120.3964,52.2,24,100,10.6,overcast clouds
60,Barrow,US,71.2906,-156.7887,-11.2,64,1,17.27,clear sky
61,Rio Grande,BR,-32.035,-52.0986,61.0,98,52,7.54,broken clouds
62,Ribeira Grande,PT,38.5167,-28.7,60.62,83,70,24.83,broken clouds
63,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,6.91,clear sky
64,Castro,BR,-24.7911,-50.0119,62.11,95,32,2.77,light rain
65,Cherskiy,RU,68.75,161.3,1.83,83,97,5.79,overcast clouds
66,Qaanaaq,GL,77.484,-69.3632,-21.3,80,77,6.46,broken clouds
67,Acarau,BR,-2.8856,-40.12,76.32,86,9,4.9,light rain
68,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,11.5,broken clouds
69,Olean,US,42.0776,-78.4297,34.0,100,90,16.11,light snow
70,Atuona,PF,-9.8,-139.0333,80.91,75,78,16.08,broken clouds
71,Quesnel,CA,52.9999,-122.5029,33.8,64,90,11.5,overcast clouds
72,Bilibino,RU,68.0546,166.4372,-0.27,86,85,3.36,overcast clouds
73,Morant Bay,JM,17.8815,-76.4093,80.6,50,20,8.05,few clouds
74,Deputatskiy,RU,69.3,139.9,10.89,83,99,3.22,overcast clouds
75,Naze,JP,28.3667,129.4833,71.6,78,40,11.5,scattered clouds
76,Springdale,US,36.1867,-94.1288,46.99,57,1,3.44,clear sky
77,Tuatapere,NZ,-46.1333,167.6833,61.0,87,64,10.0,broken clouds
78,Marawi,PH,7.9986,124.2928,82.99,83,88,5.99,overcast clouds
79,Victoria,HK,22.2855,114.1577,81.0,83,30,1.99,scattered clouds
80,Boda,CF,4.3189,17.4695,73.58,68,16,2.01,few clouds
81,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,75,11.5,broken clouds
82,Sinnamary,GF,5.3833,-52.95,77.54,85,99,14.0,light rain
83,East London,ZA,-33.0153,27.9116,64.69,76,100,13.85,overcast clouds
84,Hasaki,JP,35.7333,140.8333,70.0,83,75,4.61,broken clouds
85,Mahebourg,MU,-20.4081,57.7,73.4,88,20,4.61,few clouds
86,Sao Filipe,CV,14.8961,-24.4956,68.9,72,32,15.01,scattered clouds
87,Kaputa,ZM,-8.4689,29.6619,66.6,93,100,1.86,light rain
88,Upernavik,GL,72.7868,-56.1549,-24.09,72,19,4.79,few clouds
89,Porto Santo,PT,33.072,-16.3415,62.6,88,40,11.5,light rain
90,Hun,LY,29.1268,15.9477,53.37,39,18,6.31,few clouds
91,Garowe,SO,8.4054,48.4845,70.23,67,99,3.8,overcast clouds
92,Nchelenge,ZM,-9.3451,28.734,67.46,90,100,5.95,overcast clouds
93,Torbay,CA,47.6666,-52.7314,25.0,74,75,5.75,broken clouds
94,Udachnyy,RU,66.4167,112.4,21.97,90,100,6.08,overcast clouds
95,Hobart,AU,-42.8794,147.3294,63.0,41,75,16.11,broken clouds
96,Grindavik,IS,63.8424,-22.4338,28.4,74,75,13.8,broken clouds
97,Saskylakh,RU,71.9167,114.0833,3.13,92,100,6.53,overcast clouds
98,Semey,KZ,50.4111,80.2275,32.0,93,75,11.18,light rain and snow
99,Lucea,JM,18.451,-78.1736,77.0,65,20,2.3,few clouds
100,Luderitz,NA,-26.6481,15.1594,60.35,85,0,5.17,clear sky
101,Codrington,AU,-38.2667,141.9667,63.86,57,39,10.04,scattered clouds
102,Dukat,RU,62.55,155.55,9.52,70,81,4.16,broken clouds
103,Bowen,AU,-20.0167,148.2333,86.0,58,75,16.11,broken clouds
104,Dingle,PH,10.9995,122.6711,86.58,62,100,11.63,overcast clouds
105,Shelburne,CA,44.0787,-80.2041,35.01,100,100,23.96,light snow
106,New Norfolk,AU,-42.7826,147.0587,63.0,48,80,3.0,broken clouds
107,Beringovskiy,RU,63.05,179.3167,15.13,88,100,17.87,overcast clouds
108,Mineiros,BR,-17.5694,-52.5511,67.57,64,4,2.91,clear sky
109,Faanui,PF,-16.4833,-151.75,82.94,72,30,21.21,light rain
110,Butaritari,KI,3.0707,172.7902,81.43,79,47,14.79,light rain
111,Sambava,MG,-14.2667,50.1667,75.33,92,100,3.76,overcast clouds
112,Lawrenceburg,US,38.0373,-84.8966,39.2,60,20,5.84,few clouds
113,Lamar,US,33.6668,-95.5836,55.4,41,1,4.61,clear sky
114,Thinadhoo,MV,0.5333,72.9333,78.98,87,100,33.15,moderate rain
115,General Roca,AR,-39.0333,-67.5833,51.8,66,0,9.35,clear sky
116,Thompson,CA,55.7435,-97.8558,23.0,93,90,10.36,snow
117,San Benito,US,36.6166,-121.0844,63.0,23,1,5.06,clear sky
118,Przhevalskoye,RU,55.5093,31.8482,34.7,96,100,3.47,overcast clouds
119,Yulara,AU,-25.2406,130.9889,86.0,28,0,16.11,clear sky
120,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,18,1.99,few clouds
121,Cidreira,BR,-30.1811,-50.2056,70.99,86,2,6.8,clear sky
122,Kungurtug,RU,50.5994,97.5228,28.87,80,100,1.23,overcast clouds
123,Khatanga,RU,71.9667,102.5,0.14,92,99,11.23,overcast clouds
124,Broome,US,42.2506,-75.833,41.0,75,90,23.02,light rain
125,Bluff,NZ,-46.6,168.3333,61.0,87,25,10.0,scattered clouds
126,Bondo,CD,3.8146,23.6866,67.64,66,2,1.86,clear sky
127,Ilulissat,GL,69.2167,-51.1,-9.4,49,15,1.14,few clouds
128,Virden,US,39.5009,-89.7679,41.0,60,27,1.99,scattered clouds
129,Kapaa,US,22.0752,-159.319,75.2,69,40,18.41,scattered clouds
130,Kimbe,PG,-5.5502,150.1429,85.73,71,100,3.69,light rain
131,Maragogi,BR,-9.0122,-35.2225,77.52,83,87,4.09,light rain
132,Marsa Matruh,EG,31.3525,27.2453,57.2,58,40,10.36,scattered clouds
133,Ballina,AU,-28.8667,153.5667,80.6,69,40,11.5,light rain
134,Tutoia,BR,-2.7619,-42.2744,76.14,88,43,6.08,scattered clouds
135,Namibe,AO,-15.1961,12.1522,72.45,78,56,2.62,light rain
136,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,72,20,4.61,few clouds
137,Adrar,MR,20.5022,-10.0711,73.58,10,49,1.81,scattered clouds
138,Sitka,US,57.0531,-135.33,39.2,38,40,6.91,scattered clouds
139,Alice Town,BS,25.7167,-79.3,77.43,76,1,9.28,clear sky
140,Cravo Norte,CO,6.3017,-70.2041,82.4,58,100,4.45,overcast clouds
141,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,77,20,21.05,few clouds
142,Camopi,GF,3.1655,-52.3158,71.73,99,100,1.63,overcast clouds
143,Ahipara,NZ,-35.1667,173.1667,71.53,81,63,7.05,light rain
144,Port Hedland,AU,-20.3167,118.5667,100.4,30,46,9.22,scattered clouds
145,Priargunsk,RU,50.3691,119.1012,39.49,44,6,16.02,clear sky
146,Pangnirtung,CA,66.1451,-65.7125,1.35,82,100,5.03,overcast clouds
147,Constitucion,CL,-35.3333,-72.4167,55.72,69,0,1.54,clear sky
148,Qaqortoq,GL,60.7167,-46.0333,19.4,45,1,6.91,clear sky
149,Kaeo,NZ,-35.1,173.7833,75.0,83,42,7.0,light rain
150,Dongsheng,CN,39.8161,109.9776,43.7,20,99,1.05,overcast clouds
151,Umm Kaddadah,SD,13.6017,26.6876,63.84,14,0,18.84,clear sky
152,Barinas,VE,8.6226,-70.2075,77.77,68,77,5.19,broken clouds
153,Olafsvik,IS,64.8945,-23.7142,29.57,65,100,15.97,overcast clouds
154,Uarini,BR,-2.99,-65.1083,73.96,97,100,1.21,overcast clouds
155,Rockport,US,28.0206,-97.0544,62.6,63,90,10.36,overcast clouds
156,Lagoa,PT,39.05,-27.9833,59.38,82,99,17.9,overcast clouds
157,Berlevag,NO,70.8578,29.0864,30.2,64,0,6.91,clear sky
158,Fortuna,US,40.5982,-124.1573,48.0,87,20,5.75,few clouds
159,Rawson,AR,-43.3002,-65.1023,59.43,87,22,12.75,few clouds
160,Kahului,US,20.8947,-156.47,75.2,64,40,21.85,scattered clouds
161,Muros,ES,42.7762,-9.0603,50.0,78,3,7.78,clear sky
162,Lyngdal,NO,58.1376,7.07,45.0,96,100,14.76,light rain
163,Pevek,RU,69.7008,170.3133,-6.83,93,89,7.18,overcast clouds
164,Price,US,39.5994,-110.8107,42.8,45,1,9.22,clear sky
165,Bubaque,GW,11.2833,-15.8333,75.43,73,0,11.97,clear sky
166,Vao,NC,-22.6667,167.4833,77.81,80,16,13.27,few clouds
167,Santa Rosa,PH,14.3122,121.1114,90.0,58,20,6.91,few clouds
168,Dikson,RU,73.5069,80.5464,-24.66,99,97,7.31,overcast clouds
169,Bandarbeyla,SO,9.4942,50.8122,76.01,71,41,2.21,scattered clouds
170,Ucluelet,CA,48.9329,-125.5528,44.01,67,20,11.99,few clouds
171,Champerico,GT,14.3,-91.9167,66.0,93,2,7.83,clear sky
172,Hithadhoo,MV,-0.6,73.0833,82.76,73,100,29.53,overcast clouds
173,Meulaboh,ID,4.1363,96.1285,82.4,72,92,5.82,overcast clouds
174,Beian,NO,63.6559,9.5683,41.0,81,75,12.66,broken clouds
175,Shaunavon,CA,49.6501,-108.4181,48.2,31,71,17.27,broken clouds
176,Colomi,BO,-17.35,-65.8667,62.6,51,75,4.61,broken clouds
177,Harwich,GB,51.9419,1.2844,48.0,74,100,8.01,overcast clouds
178,Atasu,KZ,48.6814,71.6433,19.56,86,32,9.35,scattered clouds
179,Killybegs,IE,54.6333,-8.45,54.0,95,100,11.99,moderate rain
180,Ossora,RU,59.2353,163.0719,20.48,63,25,3.38,scattered clouds
181,Havoysund,NO,70.9963,24.6622,33.8,69,0,3.44,clear sky
182,Flinders,AU,-34.5833,150.8552,78.01,49,40,4.61,scattered clouds
183,Iskateley,RU,67.6803,53.1512,33.12,98,100,12.17,light snow
184,Inirida,CO,3.8653,-67.9239,71.94,96,100,0.89,overcast clouds
185,Lere,NG,10.387,8.5726,71.4,21,7,8.1,clear sky
186,Chuy,UY,-33.6971,-53.4616,61.75,94,2,5.17,clear sky
187,Japura,ID,-0.3167,102.35,82.72,78,98,4.05,light rain
188,Verkhnevilyuysk,RU,63.4453,120.3167,28.85,88,85,3.83,overcast clouds
189,Ambon,ID,-3.6954,128.1814,84.2,74,20,3.44,few clouds
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.59,89,70,5.66,broken clouds
191,La Candelaria,VE,9.6855,-63.4038,72.95,87,10,6.44,clear sky
192,Norman Wells,CA,65.282,-126.8329,-0.4,50,40,13.8,scattered clouds
193,Bourail,NC,-21.5667,165.4833,85.95,56,3,12.8,clear sky
194,Mar Del Plata,AR,-38.0023,-57.5575,64.99,82,20,9.22,few clouds
195,Byron Bay,AU,-28.65,153.6167,78.01,69,40,11.5,light rain
196,Vuktyl,RU,63.8567,57.3094,26.26,97,99,3.09,light snow
197,Pisco,PE,-13.7,-76.2167,68.0,77,0,12.66,clear sky
198,Nanfeng,CN,23.7434,111.7959,89.13,51,74,5.17,broken clouds
199,Teya,RU,60.3778,92.6267,28.51,90,99,3.47,overcast clouds
200,Zhanaozen,KZ,43.3,52.8,38.61,88,88,5.86,overcast clouds
201,Cabo San Lucas,MX,22.8909,-109.9124,68.0,60,40,6.76,scattered clouds
202,Sola,VU,-13.8833,167.55,82.89,75,6,15.95,light rain
203,Souillac,MU,-20.5167,57.5167,73.4,88,20,4.61,few clouds
204,Beloha,MG,-25.1667,45.05,68.23,89,11,3.0,few clouds
205,Cockburn Town,TC,21.4612,-71.1419,77.38,79,0,23.02,clear sky
206,Polunochnoye,RU,60.8697,60.4153,25.11,94,100,3.33,light snow
207,Caravelas,BR,-17.7125,-39.2481,75.7,84,0,6.22,clear sky
208,Buxtehude,DE,53.45,9.7,50.0,71,90,13.8,overcast clouds
209,Antofagasta,CL,-23.65,-70.4,60.8,77,0,4.61,clear sky
210,Narsaq,GL,60.9167,-46.05,19.4,45,0,6.91,clear sky
211,Pundaguitan,PH,6.3711,126.1689,81.61,78,55,3.85,broken clouds
212,Hamilton,US,39.1834,-84.5333,42.01,48,20,11.5,light rain
213,Kirovskiy,RU,45.0917,133.5136,37.78,98,100,4.5,light rain
214,Tautira,PF,-17.7333,-149.15,87.01,54,20,13.8,light rain
215,Lorengau,PG,-2.0226,147.2712,86.29,67,94,10.31,overcast clouds
216,Okato,NZ,-39.2,173.8833,66.99,94,33,8.99,light rain
217,Pokaran,IN,26.9167,71.9167,83.35,26,0,21.34,clear sky
218,Si Sa Ket,TH,14.8333,104.3333,97.0,54,62,8.9,broken clouds
219,Katsuura,JP,35.1333,140.3,71.6,64,40,2.3,scattered clouds
220,Lar,IN,26.2039,83.9717,87.46,12,0,6.73,clear sky
221,Amara,IQ,31.8406,47.1396,55.15,28,0,15.32,clear sky
222,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,6.91,clear sky
223,Kidal,ML,18.4411,1.4078,68.61,12,0,13.15,clear sky
224,Bani,DO,18.2833,-70.3333,75.0,82,6,1.99,clear sky
225,Iqaluit,CA,63.7506,-68.5145,10.4,85,90,4.61,light snow
226,Dicabisagan,PH,17.0818,122.4157,85.96,63,78,5.77,broken clouds
227,Tatarskaya Pishlya,RU,54.0608,44.8998,22.53,92,95,9.13,overcast clouds
228,Pechenga,RU,69.5259,31.1703,30.2,93,75,10.36,broken clouds
229,Kormilovka,RU,55.0026,74.1028,21.2,86,75,20.13,snow
230,Port-Gentil,GA,-0.7193,8.7815,77.23,86,100,11.59,moderate rain
231,Zunyi,CN,27.6867,106.9072,72.63,67,100,5.12,overcast clouds
232,Brae,GB,60.3964,-1.353,46.4,93,90,19.57,light intensity drizzle
233,Ponnani,IN,10.767,75.9252,82.4,83,75,2.3,broken clouds
234,Severo-Kurilsk,RU,50.6789,156.125,31.69,75,5,2.35,clear sky
235,Ejura,GH,7.3856,-1.3562,77.23,77,7,6.58,clear sky
236,Cabra,ES,37.4725,-4.4421,54.0,75,47,5.44,scattered clouds
